Category	Median	Min	Max
Accountants	75	40	120
Accounts administrators	50	37	65
Accounts payable	50	40	65
Accounts receivable	55	42	65
Analysts	85	55	132
Finance managers & controllers	100	55	155
Management 	95	55	155
Payroll	55	45	80
